Titre,Localisation,Nbr_Chambres,Surface_m2,Prix_FCFA,Image
Chambre meublée,"Avenue Bourguiba, Dakar",1 chambre,20.0,15000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b7ab666d52a9121295626002d6b226cb/-eyJvciI6MjcwfQ%3D%3D/horizon-files-prod/ed/picture/qpdm76pw/f1588d6fd4edb3c062e3a9a490511e6cc2d0f837.jpg
Studios meublés à louer à sacre coeur 3,"Mermoz, Dakar",non précisé,,25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c773a8dc3d3b4f32b5d81cf0ff0730d3/-/horizon-files-prod/ed/picture/migrated/qp00rn0/31cb47adc5241086e6aa5a73134d94084e0666d6.jpg
Mini studio meublés sur bourguiba,"Avenue Bourguiba, Dakar",1 chambre,50.0,17500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5898c4bcb1432d6cc37753e59cd212a6/-/horizon-files-prod/ed/picture/qv4wx6gg/892a0808c15117203f59e26b3df6652b661398e0.jpg
Studio meublé au point e,"Point-E, Dakar",1 chambre,100.0,30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4ff9b9fc230485763a1f01cdeb308665/-/horizon-files-prod/ed/picture/qxj6p6k0/184e768e23e83de69a5d925428830ad2ec808459.jpg
Magnifique f3 meublé à louer aux almadies,"Almadies, Dakar",non précisé,,,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0245841bc3a48a5bac4323cbb50b3325/-/horizon-files-prod/ed/picture/q8vmzkr4/8b11db1f644a00e91f97beb2d12bbca0bef5d204.jpg
Appartement meublé à louer à mermoz,"Mermoz, Dakar",2 chambre,150.0,1300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/62f6026afca15bc87823fc6cfaded047/-/horizon-files-prod/ed/picture/q445rwdr/77aafcb2ab7c2c90bdbd7658e41d0be819d2f165.jpg
Appartement meublé à louer à fann résidence,"Fann, Dakar",3 chambre,259.0,2000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ad0927765c6283dd7e21f5f0950063dd/-/horizon-files-prod/ed/picture/qng90g90/7e5d30a2a2dbb4a11a4e1e26eb464899259a13f9.jpg
Appartement meublé à louer aux almadies,"Almadies, Dakar",2 chambre,150.0,1500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d5a561d3b90f06899f6c475daae514e0/-/horizon-files-prod/ed/picture/qde97kd2/d59eca38da925ccb09703c414c037d67b5176ef8.jpg
Appartement meublé à louer à sicap foire,"Grand-Yoff, Dakar",non précisé,,15000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/06058192bbce443446c6deb1784b9281/-/horizon-files-prod/ed/picture/migrated/qvg04zw/3bf02f49fc2490f8435bd599889324e9ea045beb.jpg
Chambres meublées à la sicap foire,"Yoff, Dakar",non précisé,,15000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bdd43e16c3f930d9357f4eaa95cbb47f/-/horizon-files-prod/ed/picture/migrated/qvdrn4w/e14360479f4f98f20e90a70da11e10d44a5db5e0.jpg
Chambre meublée,"Sicap Foire, Dakar",12 chambre,15.0,12500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f9231ea0320e3d44ae05db997a519c00/-/horizon-files-prod/ed/picture/qj444w7d/73291466c3cf86aaa4f2913fc60fc6c00901702f.jpg
Chambre meublée à louer ( chez ouly),"Cité Biagui, Dakar",non précisé,,15000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cd055ebb6a538bfc5daa333a5f3ebcd0/-/horizon-files-prod/ed/picture/q6xdepkg/ec5d1ec5c52eb9dbf6f25c3cf68107c4638f9bce.jpg
Chambre meublée a louer par nuitée par jours,"Virage, Dakar",5 chambre,18.0,15000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/553cb3e5d2937a38291d2b82d4b66f54/-/horizon-files-prod/ed/picture/q56pw5eg/cb40971c75697bd7cc37c6685a1dbaeaf9d0be3e.jpg
