Titre,Localisation,Surface_m2,Prix_FCFA,Image
Ref_4201 appartement à vendre – cité alioune sow golf,"Golf, Dakar",102.0,52500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6b3d6476daf71d61be39a718c1ba660b/-/horizon-files-prod/ed/picture/qm50vvzr/419999eb8cd3ad94f554176d2930e59172d105ee.png
Appartements haut standings sis aux almadies (vefa),"Almadies, Dakar",54.0,54000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e01aef1c46e1a5cf42684a7ec73498b0/-/horizon-files-prod/ed/picture/q0gknqj6/cb7cca5a86d1a95907230f51c991be5b85ad9ebd.jpg
Duplex avec piscine privative et une vue panoramique sur mer,"Ngor, Dakar",360.0,395000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0dfb28ab504023bb835b44adca2647e6/-/horizon-files-prod/ed/picture/qpdgpmpq/41ca8e872fcae73d8559cc4a3ba0ee07dddde452.jpg
Appartement à vendre à sicap baobab,"Sicap Baobab, Dakar",,125000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/58fb4ee91ff387ba1af1d995fc34c281/-/horizon-files-prod/ed/picture/qzv8zq5x/95405d8352f49a89a444b583261977caa505759f.jpg
Appartement f4 à vendre à sacré-coeur 3,"Sacré-Cœur, Dakar",154.0,120000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fdbb8ce8eb9cfbf2e231dbfeec7a398c/-/horizon-files-prod/ed/picture/qj46qd84/5d1863108248a55294280978022e5f9e243bdbd2.jpg
Appartements f4 à vendre à mermoz,"Mermoz, Dakar",196.0,230000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/817d6422814e3170f8f1e62d63158778/-/horizon-files-prod/ed/picture/qkr864dp/e41067cf332fb1095c95347c4aa9d6ead8ea1f58.jpg
Luxueux appartements à vendre aux almadies,"Almadies, Dakar",,323180000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/90c7d3a1ed41fddc287d706a18ad5523/-/horizon-files-prod/ed/picture/qj4qn8qg/633908bf7f8ead949caa678f77968a9f5cc27150.jpg
Commerce au rdc vefa,"Ngor, Dakar",,175000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bff6b886cb6a4369d2447e17b5dfcfb0/-/horizon-files-prod/ed/picture/q78jxx7g/9ea191d7ffb63ddbe6a6c80213c912c116073b00.jpg
Appartements en vefa,"Point-E, Dakar",,65000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ff84aa7561e70274f02e17e63ae5ea8b/-/horizon-files-prod/ed/picture/q56dgg6e/742555f6761a86eb8ed81e8c881444222ee59412.jpg
Grand appartement meublé de 3 ch à vendre à saly,"Saly, Thiès",200.0,149000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/818831e9e5916f2146ca767a9aa1147a/-/horizon-files-prod/ed/picture/qkr76pgj/8d30fe164207fa5b71614578e6a785d024a63cde.jpg
Appartement studio f2 à vendre vefa aux almadies,"Almadies, Dakar",52.0,65000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/87948d73cb6431c3ee93944c980a4e26/-/horizon-files-prod/ed/picture/q78jvvkq/a208a485f3398ccd082de58c6a417aec5e90dca4.jpg
Studio neuf en vente a ouest foire dakar,"Ouest Foire, Dakar",6.0,37500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ca06dd334221e304a0d1d5437440398b/-/horizon-files-prod/ed/picture/qwepgnm4/f7e433097c86b9066f28bf15cfe4623a5ddb05ab.jpg
