Titre,Localisation,Surface_m2,Prix_FCFA,Image
Bel appartement à louer ngor almadies,"Almadies, Dakar",,700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/00f49bd80be43d52c9f1ff5d99330ae2/-/horizon-files-prod/ed/picture/qng9dxvv/4978e3d7ebb423272314902c18a5ba774cf3497d.jpg
Apparemment f3 à louer au mamelles cité des magistrats,"Mamelles, Dakar",,300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d79779835282b94a128f814a21a744d5/-/horizon-files-prod/ed/picture/q78jpqqm/bf2501ab6b1032328fd60014b5776ae263fdfd9d.jpg
Appartement f4 a louer fann residence,"Fann, Dakar",,2000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d514a00866a6ccca680570c8bf39912a/-/horizon-files-prod/ed/picture/qwerg9j6/fbe74f3742e68c8fa0172d2b185d51b7562e2381.jpg
Appartement f4 a louer point e,"Point-E, Dakar",,800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/adcb788aab61e66fbb6af546137a6581/-/horizon-files-prod/ed/picture/q56p9nvp/6d129d2e1aac0a6b8798cd4e38980aeab1c44d7a.jpg
Trois chambres à louer par mois,"Vdn, Dakar",,750000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/70274c8f706eee25097bbc799d11cf33/-/horizon-files-prod/ed/picture/qj46p9nv/4ba58c2e39de403e0aef4b9b159606d8ad6fb546.jpg
Appartement 3 chambes salon derrière onomo (150m2),"Yoff, Dakar",150.0,800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/75b7cfcdf0f0dfcd6de5b843e00ce0e2/-/horizon-files-prod/ed/picture/qpdgmv9r/08078247a67b09d57f192b60daa2ffe92ee547ca.jpg
Bel appartement à fann mermoz,"Fann, Dakar",,1500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/733c7db5476660851ebe8576b73a94df/-/horizon-files-prod/ed/picture/qng9dg89/970ee21b7dff8221d85d924b28e41de843c56ee2.jpg
Appartement haut standing à mermoz,"Mermoz, Dakar",,1300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5fa6f69b8fae04f24c1280e29e3abe0b/-/horizon-files-prod/ed/picture/qzvpn2xg/c05255a05d2fa1458d5c05ab1e31c4183e073714.jpg
F3 a louer,"Zac Mbao, Dakar",130.0,175000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/06a0de78f25eb9239aded0a283de4cca/-/horizon-files-prod/ed/picture/qzv88knq/aaf0614cc74391a7f9ec0d85e327071a68721ce8.jpg
F3 a louer,"Vdn, Dakar",110.0,275000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f059276140022e274befec69c41fc4ab/-/horizon-files-prod/ed/picture/q78jp4zz/17f9065a78cdc6762442aad8ce3010b35266c857.jpg
Bel appartement à la cité mourtada,"Vdn, Dakar",,450000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b0a7b98e3504515f7e4dc5365b99ef5c/-/horizon-files-prod/ed/picture/q44502mz/a7cb0e0620c909b0692874072360bec466af0b47.jpg
Studio a louer,"Vdn, Dakar",100.0,200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/29ae8f311af8f5ad7cc98c1ea6bc66ec/-/horizon-files-prod/ed/picture/q0g7027w/b6a5fde7d18b8b34e6598d9ad5650ef658bb55f0.jpg
Appartements f4 et f5 à louer au point e,"Point-E, Dakar",173.0,900000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bbaf028e8c4d0c6ae78276beec28e74c/-/horizon-files-prod/ed/picture/qngp02ge/9cd98af929e2d2f0aa137dce1cfda1c7aba66fd2.jpg
T4 à louer au point e,"Point-E, Dakar",175.0,1400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5ef1b10ebdfc12fbeb15b7f2e1cc1115/-/horizon-files-prod/ed/picture/qzv8zw0k/5e4e543209c5a48fff33aff42ada4d700748ecc6.jpg
Magnifique appartement à louer au point e,"Point-E, Dakar",210.0,1300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/48a9ad1ac270eb5ce716d66fd6008eca/-/horizon-files-prod/ed/picture/q8vmzzvn/deb7501204288e33c47935c28285181eee7103af.jpg
Appartement à louer à ngor almadies,"Ngor, Dakar",,650000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2121e42e38790973ea5afa3749bcd7ca/-/horizon-files-prod/ed/picture/qwepxj76/5ac2bd180020a9c82305a698d118a9cd07541239.jpg
Magnifique duplex a louer a fann résidence,"Fann, Dakar",,2500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c16f4e8da4a4fd85fe3904dd1175aadc/-/horizon-files-prod/ed/picture/q78w9g9m/9aeb03170912613b7086b51ff9ba321f6938f341.jpg
Appartement à louer a sacré coeur 1,"Sacré-Cœur, Dakar",,800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/31fc8f514ca2ccc11ad56f8d21acbacd/-/horizon-files-prod/ed/picture/q2j0m58q/8981e4f3cb053a722e595a7622f669b9e4ea7d89.jpg
Appartement de standing à louer,"Ngor, Dakar",200.0,600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ab49e1aca68d1bf60b6fc3a669742785/-/horizon-files-prod/ed/picture/qgqwk2jm/f57655068a9524767336740ed77830f28994b2eb.jpg
Appartements de standing et lumineux à ngor almadies,"Ngor, Dakar",,440300,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f416e96bb44a37d5128abd1b53d1225e/-/horizon-files-prod/ed/picture/q4458pjz/5d11dc474f862ecb83de44e159e16b8db4c8582c.jpg
Appartement lumineux et moderne à louer aux almadies 2,"Almadies 2, Dakar",,150000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/661f2e5d8f21c20d3ed8da77bf24ca0f/-/horizon-files-prod/ed/picture/q8v4wev6/dc27d0b6e371b7f6ed553146beb30cd2b1f40a86.jpg
Grand appartement f4 à la cité keur gorgui,"Cité Keur Gorgui, Dakar",,450000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/623db67995c7aed3273db47c995f633e/-/horizon-files-prod/ed/picture/q78w40kj/dcbfd17e325c3857715eafa79be4d0c8ef096a1b.jpg
Appartement à louer à saint-louis,"Saint-Louis, Saint-Louis",,200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3781d91c54acd963ed62b9865f269f40/-/horizon-files-prod/ed/picture/qrzrnk4g/e598d1d306c9d713a03265c8ce48011d640342c5.jpg
Appartement 3ch + salon neuf à louer,"Vdn, Dakar",150.0,450000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d60d3c206619820311a45f704f521b30/-/horizon-files-prod/ed/picture/qv4dg07v/ff2cb06f08583c238a8e57761f4ed83b23f3182a.jpg
Deux appartements vides à louer à cité keur gorgui,"Cité Keur Gorgui, Dakar",,700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/eef0f0e947a169747bbd81c3274ab2fb/-/horizon-files-prod/ed/picture/qrzrnkm5/90ede34c10cb6085a320df54b8542bf5c54a11ef.png
Appartement f4 grand standing avec vue mer à louer virage,"Virage, Dakar",225.0,1300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/066c5a83a8ac27e65a0b5c7bc5bbe7f2/-/horizon-files-prod/ed/picture/qq4z9kve/b621b9127a8fd50e1d32f0a679ea96c7bcecc254.jpg
Appartement f4 à louer mamelles,"Mamelles, Dakar",200.0,550000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9e73563534d56158df3b678f6799e12f/-/horizon-files-prod/ed/picture/qkr7pdq5/a4beb73aab0b07a76b47f3d08a53f8fdd098fba0.jpg
Appartement f4 neuf et spacieux à louer à yoff aéroport,"Yoff, Dakar",160.0,600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/85a1d2b96431c2dc2cada85dbc08edde/-/horizon-files-prod/ed/picture/q56p42pg/4a4be323b35de78875ac65b3caa388e2816bebbf.jpg
"F5 à louer avec ascenseur privatif, liberté 6 extension","Liberte 6 Extension, Dakar",205.0,1000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bf5f41db246d46dd1bd1e72b27f3cc6a/-/horizon-files-prod/ed/picture/qkr8vzdj/3e5e84cc6a5edc36738bc914e3e38c08cc33be65.jpg
Appartement f3 neuf non-meublé à louer liberté 6 extension,"Liberte 6 Extension, Dakar",101.0,650000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/36eb84e575e0a72c3e2ba502f1f408b3/-/horizon-files-prod/ed/picture/q44nx8nz/567a9f44ca4239fa40d9c3d2b12e904ee8505429.jpg
Appartement f3 neuf meublé à louer liberté 6 extension,"Liberte 6 Extension, Dakar",101.0,750000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/237dfaf68cab8bf0eee5a6b308f50820/-/horizon-files-prod/ed/picture/qm5g0nq2/37a2bf05dea73d16513474ae8e6ac0b48289e37b.jpg
Appartement duplex à louer à mermoz,"Mermoz, Dakar",3.0,1000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3b721c3de534842f8ba563dbd0c03cfa/-/horizon-files-prod/ed/picture/qgqm924m/98153b0a272712d0fee2877b33ef5be16551ca3e.jpg
''shape'' f5 haut standing,"Yoff, Dakar",280.0,1300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/57835fc0277bdea9f8e8dbcb7bc772e4/-/horizon-files-prod/ed/picture/qzv8dk5r/699f8235750da7a67b8930e6bb2038e5dc529636.jpg
Jolie appartement au mariste,"Hann Maristes, Dakar",154.0,350000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/37f7e4f293f1ffb79b0f0d7cadc6563d/-/horizon-files-prod/ed/picture/qwerrzxm/da2a95c50b7248e0c06c2632d9efdba6fc7f0b74.jpg
Appartement spacieux à golf (cité nations unies),"Cambérène, Dakar",,200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4f7e00f3c67dae013d32408b9f136939/-/horizon-files-prod/ed/picture/q0gkw2dw/0dc6471b656588839b73c79631626f329a37970a.jpg
Bel apaprtement à nord foire (derrière yeungoulen),"Nord Foire, Dakar",,500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e0a0c0c7c7a16f77f76bf538c384f915/-/horizon-files-prod/ed/picture/q2jk7wdq/f639ccbe19330a51d6ac07695226f796022ea5cf.jpg
Joli appartement neuf,"Point-E, Dakar",180.0,1000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c979eb2890e37eda7aedfa017cec6787/-/horizon-files-prod/ed/picture/q8vmpd7j/a4f8e12f6bc30c633e33cf740d53af20015e72aa.jpg
A loué apartuman nef a mamel just a côté pharmacie,"Mamelles, Dakar",22.0,600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9147f11aae00127c2e5bf2b7adf65dd4/-/horizon-files-prod/ed/picture/q44507g5/564a9324a4be95e1b091235c8ee3311b0766ca66.jpg
Hann marinas /location appartement vue sur mer,"Hann Marinas, Dakar",,1500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f60e8b6c95a4b097f7cda542acdf0dd9/-/horizon-files-prod/ed/picture/qwergp5g/6249cc728a95f63eb8c40eb00c960c1a76ffc0af.jpg
Studio à louer,"Liberte 6, Dakar",80.0,200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7b9c663e5af92e0cbc79736db053474c/-/horizon-files-prod/ed/picture/qkr7pqxn/cead9ff473a1fe41f42e31a65f0db2ad3ad9a8fa.jpg
Tres luxueux appartement f4 3ch,"Mamelles, Dakar",150.0,1000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e26e7e4c817b2052e47bfea72dd6ae16/-/horizon-files-prod/ed/picture/q2jkj22j/6b6338a1de849c6c93d1dae9cd3db6efd28fcea7.jpg
Appartement à louer,"Sicap Foire, Dakar",180.0,410000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fe4afe9b35c7fa0f13819dc03f4df1ed/-/horizon-files-prod/ed/picture/q8vm40e9/7bba0f3ff2f85d596a0c77827eb1bb022948586a.jpg
A louer un joli appartement cite mixta 1etage,"Cite Mixta, Dakar",200.0,410000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d72ecfc6fe0eea9000ad8f6e797cb102/-/horizon-files-prod/ed/picture/qq4z7r5j/3cabb337470ac99ac7a14c63ec83c15dc138aae4.jpg
Appartements à louer,"Fann, Dakar",200.0,11,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c57d69adcc0b1313fa7d53ac586293d5/-/horizon-files-prod/ed/picture/q0gkn5zd/4894ee2b30bf8ea46c07fc6541d03042b3a48b17.jpg
F3 neuf à louer aux mamelles,"Mamelles, Dakar",150.0,700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b4a8cba9bfedde9e43b446fc0c8ff55c/-/horizon-files-prod/ed/picture/q78jp99x/e802ae0b91e5811471e93ec3211bbbb0d8c227c6.jpg
Corniche fan résidence appartement à louer,"Fann, Dakar",200.0,2500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bb16b10602ffffa9ba0b249db2f3cf58/-/horizon-files-prod/ed/picture/qngpg9rm/e76f578575a286fd0c707d473b9b0b2ad74c30fe.jpg
Studio à louer,"Amitié, Dakar",40.0,170000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bc3856c897c37df76e8b4edc5f570ef2/-/horizon-files-prod/ed/picture/q2jk7gk6/a691f8604792fab46894f5adfda538a51f952221.jpg
Apparetement f3 a louer,"Yoff, Dakar",150.0,450000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/dc56628bf996d7778df83eae3841a04c/-/horizon-files-prod/ed/picture/q6xqn554/d375896594111326195824decaf8c71927a16f63.jpg
Appartement à louer aux almadies,"Almadies, Dakar",,1300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/920a59aacac24b32c83fff730b4f03ed/-/horizon-files-prod/ed/picture/qzv8pwxx/1c7657ae4e9d4522edf5c9d57e2fb10660bf9076.jpg
Studio à louer à amitié 2,"Amitié, Dakar",,180000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9872e5c36b10507d32634ed38d080d5f/-/horizon-files-prod/ed/picture/qng996kr/a9a2801be3d7302bd8cb35f72ffb7f76402c7a0a.jpg
F3 meublé liberté 2,"Liberte 2, Dakar",,600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9251f829b885df48eb490fc919e57d4d/-/horizon-files-prod/ed/picture/q0gkp66g/deff6283256bf0854075644835a6a99d20253645.jpg
F4 de standing aux almadies coté meridien,"Almadies, Dakar",,1000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0af480c72c5fdf21a005352b118a933a/-/horizon-files-prod/ed/picture/q9mj574n/f3c99afefff34736bd10e7e8d07ed1191a6f438a.jpg
F4 de standing aux almadies,"Almadies, Dakar",,800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f0c87f6f89bf7493a8b5d25621a56ca9/-/horizon-files-prod/ed/picture/q9mjrnm7/83f4ba445cbb5a1298052c5dab98de424f40b1cb.jpg
F5 en duplex aux almadies rte du meridien,"Almadies, Dakar",,1250000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3c733e882f167b4385444967e7511d82/-/horizon-files-prod/ed/picture/qgqwpx2e/f0151a7b96e95c7a2e8126bb3d288a02dcf3f1d8.jpg
F4 à louer liberté 6 extension,"Liberte 6 Extension, Dakar",,400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9ff3167b244c02a3b9db86b00c68c748/-/horizon-files-prod/ed/picture/qwerpe8d/8334be27d2b86ed88f7f82de6ebb7796ec710e44.jpg
F3 de standing face brt patte d'oie,"Patte D‘Oie, Dakar",,325000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a45dea95dc676fe3b4be4ee80d61c4e6/-/horizon-files-prod/ed/picture/q0g70zd6/9ee67742605dd4d797ac06a2a288bc00ebdce8c1.jpg
Appartements f3 à louer à zone a,"Grand-Dakar, Dakar",,275000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/59d66c996efe2ac30db2bfa76c6732d0/-/horizon-files-prod/ed/picture/qrz8xgr9/c5f2584066526c6bea6d162452ea63d3ee71b151.jpg
F4 de standing pointe de almadies,"Almadies, Dakar",,2000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f7affa48fd5c777cee8a336fb87a1049/-/horizon-files-prod/ed/picture/qkr752v5/2b5b9b156fd88e5db62ad72808c6d8e6d592bbf2.jpg
Appartement de standing ouest foire,"Ouest Foire, Dakar",,500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/716745e76d0077280a92889abecfdc81/-/horizon-files-prod/ed/picture/q8v57vxr/c82f690ba15e8fdeab4031e1fb39d7ac5c4bcd93.jpg
Appartement 200m2 aux almadies,"Almadies, Dakar",,1500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fe31cfc41fc2ab64cefa72034bbf6ee1/-/horizon-files-prod/ed/picture/q9mk5g5v/e6881e24bfe78fde512910b1f70c2c54e3d9fc77.jpg
Appartement à louer à liberté 6 ext,"Liberte 6 Extension, Dakar",,650000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/642286a28a7d7346edb62e6b6d7b58d5/-/horizon-files-prod/ed/picture/qj4qpj6g/c3628b7158799b78d584eb3d68fb1abc07df51f9.jpg
Appartement f3 à louer à liberté 03,"Sicap Liberté, Dakar",79.0,550000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e2165de5c0a88f16086d3b76598b8d58/-/horizon-files-prod/ed/picture/qgqmpmqr/6a38c7f4bc185748c809045d7d15643a1065c2cc.jpg
Duplex de type f6 à louer aux mamelles,"Mamelles, Dakar",,1500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/37da616e9156d292b9db7e59655c60a4/-/horizon-files-prod/ed/picture/qq4zqnme/e25774c72038c5627c76b5e2af567080b960641b.jpg
Appartement haut standing a louer ngor,"Ngor, Dakar",225.0,1300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/05fc4fedc2855614a2349d0c23a84a21/-/horizon-files-prod/ed/picture/qwergwrg/6a93b69cf577c386cf4a22e934d73da1c4d4e79b.jpg
Studio a louer a mamelles,"Mamelles, Dakar",150.0,250000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2ce9c45fe1acab29ea91bfe5be425be3/-/horizon-files-prod/ed/picture/q8v476n6/f1153d65eee3fcb2deca593aaf156216f9e3aada.jpg
Appartement f4 à louer au mamelle,"Mamelles, Dakar",115.0,750000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6b9decb169bdbdde9340255abcbaa3b1/-/horizon-files-prod/ed/picture/q56p9zqp/5b29c3e6ca8c2af82ebd8214038b273fd5c0a612.jpg
Studio mariste,"Hann Maristes, Dakar",100.0,175000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/28fa01d68730fb1afaa8b85cac77b2cc/-/horizon-files-prod/ed/picture/q56p9z2p/b45d27c14cbcf64eaea0940ab3be6831020c91a2.jpg
Lofts à louer vue mer à louer à fan résidence,"Fann, Dakar",280.0,2800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/abadee11e0e74325c18688c35f4e9e43/-/horizon-files-prod/ed/picture/qzv8dejk/241568bd044cadf1af6756d8ec2314c3d735e463.jpg
Appartement f4 neuf route du king fahd,"Almadies, Dakar",153.0,1800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4f15abaccabe9b8bbfe504192461fd26/-/horizon-files-prod/ed/picture/qpdg0jqw/4d02fa6be55f51abddf807115ad6a853f9629940.jpg
Plateau de bureaux à louer aux mamelles,"Mamelles, Dakar",,1000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0621de56947c3400973805b1649bb6e7/-/horizon-files-prod/ed/picture/q2jqpgrg/0d376013e610d03cf0b7d542fc4b87c942464169.jpg
Appartement à louer à la cité keur gorgui,"Cité Keur Gorgui, Dakar",,1600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e79dcc5e6afe2445b64f5eef62553878/-/horizon-files-prod/ed/picture/qrzrnj59/0040d7d60f88761a5b93495a21ba22b7d378eb80.jpg
Appartement 4 chambres à louer aux almadies,"Almadies, Dakar",250.0,800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4e5d0dc063a6aebc9f2e3d9d34f62186/-/horizon-files-prod/ed/picture/qxj8gwn2/50ef6544602030e8f6940ff881338c6fd729d94f.jpg
Ref_2841_sey appartement à louer à la cité keur gorgui,"Cité Keur Gorgui, Dakar",,400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2eeadaa5658bc2b9247adce85df8b829/-/horizon-files-prod/ed/picture/q56p9rz7/28475eb261d9d0e487be33ec342a0e0313d5437c.jpg
Ref_2842_sey appartement à louer à la cité keur gorgui,"Cité Keur Gorgui, Dakar",,450000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4381ceed52fd01a78890c73a3b13e492/-/horizon-files-prod/ed/picture/q2jk78we/536ee8102e8f652b5987174f2a26d2dfcd5305dc.jpg
Appartement à louer à la cité keur gorgui,"Cité Keur Gorgui, Dakar",,800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/486decf44d14f7e65271820e027e3fe2/-/horizon-files-prod/ed/picture/q78jppk8/9903fd6274c6a3f9b4b4bc1933276063422dbc10.jpg
Studio a loue f2,"Zone De Captage, Dakar",100.0,250000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/38fcbda09d99a1971b488e45bb5b9689/-/horizon-files-prod/ed/picture/qrz8vx4q/a16573b20f14b9068ca31c5595c22ec79d6b4c55.jpg
Appartement au hlm grand médine,"Parcelles Assainies, Dakar",,300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2d0954283b13eee38d27ffbb4c2c7694/-/horizon-files-prod/ed/picture/qpdg0nd0/b94ebd6a3b431aa79c5e31186b29994fd9e4256c.jpg
Ref_2840_gl appartement à louer à liberté 2,"Liberte 2, Dakar",,250000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b03b2740a64af98be05fe1f82d2b771c/-/horizon-files-prod/ed/picture/qq4z99jw/15eac2cffb0ae4a9151e34909409639027084885.jpg
Appartement de type f4 au 4e étage residence acacia,"Avenue Bourguiba, Dakar",147.0,840000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f543b551e917ebf5a776c53c2796cd64/-/horizon-files-prod/ed/picture/q9mk5kk7/e66e5cc1b603cda932fa9391bd7b67510522f0d8.jpg
Splendide appartement type f4 à louer -confort et modernité,"Zone De Captage, Dakar",100.0,450000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bb61a8649521adfb63874e72a18ac1ab/-/horizon-files-prod/ed/picture/q9mjdjj7/a3cb9aa4a479ddf903870d9d8a352d6fe1163748.jpg
Location appartement haut standing à saly,"Saly Portudal, Thiès",87.0,320000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c22c09b89d4184b555b0adc0ac92ff61/-/horizon-files-prod/ed/picture/q9m9jz46/edd958675ab0ff6bf72a7bdfe3901e40c34555c7.jpg
Deux chambres à louer par mois,"Nord Foire, Dakar",,275000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d50d36cadf17a9a55c22be17585638ab/-/horizon-files-prod/ed/picture/qenr9924/61eb1fd3d21a8369ea600e0c855e156990a582e8.jpg
Appartement à louer aux almadies avec vue sur mer,"Almadies, Dakar",352.0,2500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e03baaeb43c9245c411e5fb6f83d9753/-/horizon-files-prod/ed/picture/qq4z9927/3df43d0b8cbd8e37b302d761fd4bd8d2f41d5da7.jpg
Bel appartement f4 à keur yoff,"Yoff, Dakar",,350000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fa7e3468d0f1be37710abff5e0db0871/-/horizon-files-prod/ed/picture/qj4qknrg/c65000fd86a847f050dcd96f690a03cf94c5dc42.jpg
Appartement spacieux aux mamelles,"Mamelles, Dakar",,350000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/97e21ef37c17971d416285ba9d824374/-/horizon-files-prod/ed/picture/qrz8egen/8f2f61ce4dd2de5c51c7868598a97dcee769e9e1.jpg
Bel appartement à yoff,"Yoff, Dakar",,325000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/94f6afae0f7cca465cf25ad6a0abb3d1/-/horizon-files-prod/ed/picture/q0g7jm7g/05c2c6db2cf418e7eb02917a3bbc7098d3946195.jpg
Villa-appartements à louer lacrose,"Lac Rose, Dakar",200.0,110000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/850d220154335828cd3f0302bff51132/-/horizon-files-prod/ed/picture/qpdg00dq/ed0021b99b605f6aa8b1c006118d6b8920ea96e5.jpg
Appartement a louer aux plateaux dakar,"Plateau, Dakar",,5000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c2ff4cc83201198fc30d00b2be9d1471/-/horizon-files-prod/ed/picture/qkr8zz55/0125f7d24114e2a904d1ed72b6b6cba467b1a43e.jpg
Appartement f4 cosy à la cité keur guorgui,"Cité Keur Gorgui, Dakar",150.0,750000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/813f962d76145ef674fb7595d3b7cb1d/-/horizon-files-prod/ed/picture/q4450572/850a11200983c8716a62fbad6f4bc63d9f42e66e.jpg
Appartement de type f4 3e étage residence cornaline,"Point-E, Dakar",151.0,1700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2310d15bf3c8fbc0c2cff2418e960192/-/horizon-files-prod/ed/picture/qv4ddj02/e7cc7a0195609354d3f9e667bbd3ff973043feea.jpg
Appartement de type f4 8e étage - residence tulipes,"Mermoz, Dakar",148.0,1370000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/784f33fc3c3a73be00f65d227e814984/-/horizon-files-prod/ed/picture/qenr9rrj/1ac520da3f4a94b67e5db29b971cc466b4e86666.jpg
Appt f4 au 7éme étage fann mermoz résidence selenite,"Mermoz, Dakar",1.0,1300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7643e9186d69d7d8cb596d29af2b6784/-/horizon-files-prod/ed/picture/qv4dgddj/ac676137e5b3952e82bbe747ab45b6db72046302.jpg
Appartement de type f3 au 6e étage residence acacia,"Avenue Bourguiba, Dakar",107.0,650000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/079ad45940b4dc2c6c9089c032895b59/-/horizon-files-prod/ed/picture/q4450504/6186c14d0423b286677a406c85823df122aba983.jpg
Apparemment à louer fann hock,"Sacré-Cœur, Dakar",166.0,750000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/21b863e79c9f4d5704f2d2271d6661aa/-/horizon-files-prod/ed/picture/qj46p6q5/39ebc98c2bd05851a28eb842a3d4d9a3567e307f.jpg
Appartement f4 à louer à la cité keur gorgui,"Cité Keur Gorgui, Dakar",,800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e0a93bbc3d59d7de654021ddc58f73a9/-/horizon-files-prod/ed/picture/qzv8pveq/cb7a660bd9e1d1e604e0675c657f2a4bd1556802.jpg
Appartement à louer à la résidence ataya-yoff,"Yoff, Dakar",,750000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/343642933ffba0087d33a6a2dd36ba3b/-/horizon-files-prod/ed/picture/qq4z92mj/f6d91f6c3743ea5f8514a2ec9170545e822f1da4.jpg
Appartement f4 vue mer à louer mamelles,"Mamelles, Dakar",200.0,1500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/35735c824c469c441c3ceb45812a4039/-/horizon-files-prod/ed/picture/q6xqk0n8/3828b9d2937f1beedcca490a9b93ca45617cff3d.jpg
Appartement à louer,"Sangalkam, Dakar",150.0,220000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/71f5347981ff6a883acf619b3f59517c/-/horizon-files-prod/ed/picture/qzv8zp6x/ebb52ab21ac6dc8419e2fd6d4bcf6718f32cc18b.jpg
